Brand,Model,Availability,Availability_Status,Range(in_mile),Efficiency(Wh/mile),Weight_in_Kg,t_0_60_mph,Battery_Capacity(kWh),Seating_Capacity,Boot Space(in_Litres),Price_Per_Range(in_£),Model Price(in_£)
Tesla,Model Y Long Range AWD,Discontinued,(February 2022 - February 2025),275,273.0,2054.0,5.0,75.0,7,971.0,189.0,51990
Tesla,Model 3 Long Range AWD,Discontinued,(February 2022 - October 2023),300,250.0,1919.0,4.4,75.0,5,649.0,170.0,50990
Kia,EV3 Long Range,Available,to order since October 2024,280,279.0,1885.0,7.7,78.0,5,485.0,129.0,35995
Tesla,Model 3 RWD (Highland CATL LFP64),Available,to order since May 2025,275,220.0,1836.0,6.1,60.5,5,682.0,145.0,39990
Tesla,Model Y RWD (Juniper),Available,to order since February 2025,235,257.0,2003.0,5.9,60.5,5,971.0,191.0,44990
Kia,e-Niro 64 kWh,Discontinued,(January 2021 - April 2022),230,278.0,1812.0,7.8,64.0,5,451.0,152.0,34995
MG,MG4 EV Long Range,Available,to order since October 2022,225,274.0,1726.0,7.9,61.7,5,363.0,131.0,29495
Renault,5 E-Tech 52kWh 150hp,Available,to order since December 2024,200,260.0,1524.0,8.0,52.0,5,326.0,135.0,26995
BYD,SEAL 82.5 kWh AWD Excellence,Available,to order since September 2023,275,300.0,2260.0,3.8,82.5,5,453.0,177.0,48695
Kia,Niro EV,Available,to order since July 2022,240,270.0,1757.0,7.8,64.8,5,495.0,155.0,37295
Ford,Capri Standard Range RWD,Available,to order since February 2025,195,267.0,1914.0,9.0,52.0,5,572.0,216.0,42075
Skoda,Elroq 85,Available,to order since October 2024,280,275.0,2119.0,6.6,77.0,5,470.0,138.0,38660
Renault,Scenic E-Tech 220hp Long Range,Available,to order since December 2023,300,290.0,1917.0,7.9,87.0,5,545.0,137.0,40995
Hyundai,Kona Electric 65 kWh,Available,to order since July 2023,240,273.0,1773.0,7.8,65.4,5,493.0,161.0,38595
Mercedes-Benz,CLA 250+,Available,to order since May 2025,350,243.0,2055.0,6.7,85.0,5,506.0,130.0,45615
Tesla,Model Y Long Range RWD (Juniper),Available,to order since February 2025,290,259.0,1976.0,5.6,75.0,5,971.0,169.0,48990
Tesla,Model 3 Long Range RWD (Highland),Available,to order since October 2024,340,221.0,1822.0,5.2,75.0,5,682.0,132.0,44990
BYD,DOLPHIN 60.4 kWh,Available,to order since September 2023,215,281.0,1733.0,7.0,60.5,5,345.0,140.0,30195
Mercedes-Benz,EQB 250+,Available,to order since December 2023,260,271.0,2105.0,8.9,70.5,7,495.0,203.0,52800
MG,MG5 EV Long Range,Available,to order since July 2022,205,280.0,1637.0,7.7,57.4,5,479.0,151.0,30995
Nissan,Leaf,Discontinued,(March 2022 - December 2024),145,269.0,1580.0,7.9,39.0,5,435.0,197.0,28495
BMW,i4 eDrive40,Available,to order since June 2024,320,254.0,2125.0,5.6,81.3,5,470.0,186.0,59365
Hyundai,IONIQ Electric,Discontinued,(October 2019 - July 2022),155,247.0,1602.0,9.7,38.3,5,357.0,207.0,32050
Kia,EV3 Standard Range,Available,to order since October 2024,200,275.0,1800.0,7.5,55.0,5,485.0,165.0,32995
Mercedes-Benz,EQA 250+,Available,to order since December 2023,260,271.0,2050.0,8.6,70.5,5,340.0,191.0,49750
Hyundai,Kona Electric 64 kWh,Discontinued,(June 2021 - June 2023),240,267.0,1760.0,7.9,64.0,5,332.0,157.0,37750
Skoda,Enyaq 85,Discontinued,(October 2023 - January 2025),280,275.0,2137.0,6.7,77.0,5,585.0,159.0,44540
MG,ZS EV Long Range,Available,to order since December 2021,230,297.0,1695.0,8.4,68.3,5,448.0,143.0,32995
Kia,EV9 99.8 kWh AWD GT-Line,Available,to order since September 2023,265,362.0,2648.0,5.3,96.0,7,385.0,277.0,73285
Skoda,Enyaq 85,Available,to order since January 2025,285,270.0,2141.0,6.7,77.0,5,585.0,155.0,44310
Renault,Zoe ZE50 R135,Discontinued,(January 2020 - May 2024),190,274.0,1577.0,9.5,52.0,5,338.0,158.0,29995
MG,MGS5 EV Long Range,Available,to order since March 2025,225,276.0,1755.0,6.3,62.1,5,453.0,138.0,30995
BMW,i4 eDrive40,Discontinued,(November 2021 - May 2024),320,252.0,2125.0,5.7,80.7,5,470.0,181.0,57890
Audi,e-tron 55 quattro,Discontinued,(March 2021 - September 2022),225,384.0,2565.0,5.7,86.5,5,660.0,324.0,72935
Tesla,Model Y Long Range AWD (Juniper),Available,to order since February 2025,280,268.0,2072.0,4.8,75.0,5,971.0,186.0,51990
Ford,Explorer Extended Range RWD,Available,to order since March 2024,270,285.0,2090.0,6.4,77.0,5,536.0,170.0,45875
BYD,SEAL 82.5 kWh RWD Design,Available,to order since September 2023,295,280.0,2130.0,5.9,82.5,5,453.0,155.0,45695
Mercedes-Benz,EQC 400 4MATIC,Discontinued,(December 2020 - June 2023),230,348.0,2495.0,5.1,80.0,5,500.0,323.0,74330
Audi,Q4 e-tron 45,Available,to order since January 2024,260,296.0,2145.0,6.7,77.0,5,520.0,197.0,51310
Mini,Electric,Discontinued,(March 2021 - February 2024),110,263.0,1440.0,7.3,28.9,4,211.0,296.0,32550
Mercedes-Benz,EQS 450+,Available,to order since April 2024,425,278.0,2545.0,6.2,118.0,5,620.0,265.0,112610
Ford,Puma Gen-E,Available,to order since December 2024,170,256.0,1563.0,8.0,43.6,5,566.0,176.0,29995
Polestar,2 Long Range Single Motor,Discontinued,(September 2021 - January 2023),260,288.0,2069.0,7.4,75.0,5,440.0,179.0,46450
Renault,Zoe ZE50 R110,Discontinued,(January 2020 - June 2022),195,267.0,1577.0,11.4,52.0,5,338.0,149.0,29095
BMW,iX xDrive 40,Discontinued,(November 2021 - January 2025),220,323.0,2440.0,6.1,71.0,5,500.0,318.0,69905
Skoda,Elroq 60,Available,to order since January 2025,215,274.0,1978.0,8.5,59.0,5,470.0,155.0,33360
Polestar,2 Long Range Performance (MY24),Discontinued,(January 2023 - September 2024),280,282.0,2180.0,4.2,79.0,5,446.0,207.0,57950
Volkswagen,ID.7 Pro S,Available,to order since July 2024,325,265.0,2226.0,6.6,86.0,5,532.0,171.0,55450
Nissan,Leaf,Discontinued,(February 2018 - March 2022),145,269.0,1580.0,7.9,39.0,5,435.0,195.0,28290
Polestar,4 Long Range Dual Motor,Available,to order since January 2024,300,313.0,2430.0,3.8,94.0,5,541.0,223.0,66990
Hyundai,INSTER Long Range,Available,to order since October 2024,185,249.0,1410.0,10.6,46.0,4,280.0,135.0,25045
Ford,Capri Extended Range AWD,Available,to order since July 2024,285,277.0,2175.0,5.3,79.0,5,572.0,197.0,56175
Omoda,E5,Available,to order since September 2024,215,284.0,1785.0,7.6,61.0,5,380.0,154.0,33055
Citroen,e-C3,Available,to order since July 2024,160,275.0,1491.0,11.5,44.0,5,310.0,137.0,21990
MG,MG4 EV Standard Range,Available,to order since October 2022,185,275.0,1710.0,7.7,50.8,5,363.0,146.0,26995
BMW,iX3,Discontinued,(September 2021 - October 2024),240,308.0,2255.0,6.8,74.0,5,510.0,267.0,64165
Volvo,EX30 Single Motor ER (MY24-26),Available,to order since June 2023,225,289.0,1850.0,5.3,65.0,5,325.0,166.0,37260
Kia,EV6 GT,Discontinued,(April 2022 - August 2024),220,336.0,2200.0,3.5,74.0,5,500.0,285.0,62645
Skoda,Enyaq iV 80,Discontinued,(May 2021 - October 2023),270,285.0,2075.0,8.6,77.0,5,585.0,159.0,42925
Renault,Megane E-Tech EV60 220hp,Discontinued,(November 2022 - April 2025),235,255.0,1711.0,7.4,60.0,5,440.0,162.0,37995
BMW,iX1 xDrive30,Available,to order since November 2022,235,275.0,2085.0,5.6,64.7,5,490.0,202.0,47465
Volkswagen,e-Golf,Discontinued,(May 2017 - December 2020),115,278.0,1615.0,9.6,32.0,5,341.0,244.0,28075
BMW,i4 M50,Available,to order since June 2024,280,290.0,2290.0,3.9,81.3,5,470.0,258.0,72375
BYD,DOLPHIN SURF 43.2 kWh Comfort,Available,to order since May 2025,165,262.0,1465.0,9.1,43.2,4,308.0,145.0,23950
Tesla,Model 3 Standard Range Plus (PANA 2170L),Discontinued,(February 2021 - December 2021),215,237.0,1700.0,5.6,51.0,5,649.0,191.0,40990
Tesla,Model 3 Performance (Highland),Available,to order since May 2024,305,246.0,1929.0,3.2,75.0,5,682.0,197.0,59990
Mini,Cooper Electric SE,Available,to order since March 2024,205,240.0,1680.0,6.7,49.2,4,200.0,168.0,34500
Mercedes-Benz,CLA 350 4MATIC,Available,to order from August 2025,340,250.0,2135.0,4.9,85.0,5,506.0,147.0,50000
Nissan,Ariya 87kWh,Available,to order since August 2022,280,311.0,2121.0,7.6,87.0,5,468.0,159.0,44645
Kia,EV6 Long Range 2WD,Discontinued,(February 2022 - August 2024),255,290.0,1985.0,7.3,74.0,5,532.0,177.0,45245
Polestar,4 Long Range Single Motor,Available,to order since January 2024,305,308.0,2305.0,7.4,94.0,5,541.0,197.0,59990
Tesla,Model Y Long Range RWD,Discontinued,(October 2024 - February 2025),280,268.0,1959.0,5.9,75.0,5,971.0,168.0,46990
Kia,EV4 Hatchback Long Range,Available,to order from August 2025,295,264.0,1900.0,7.7,78.0,5,435.0,142.0,42000
Jaguar,I-Pace EV400,Discontinued,(July 2020 - January 2023),235,360.0,2208.0,4.8,84.7,5,505.0,282.0,66350
Hyundai,IONIQ 6 Long Range 2WD,Available,to order since December 2022,305,243.0,1985.0,7.4,74.0,5,446.0,154.0,47040
